Insert Times,Search Times
1.6578e-06,6.022e-08
2.70776e-06,7.153e-08
1.43388e-06,6.64e-08
1.54325e-06,7.61e-08
1.43246e-06,7.204e-08
1.47571e-06,7.785e-08
1.47743e-06,8.002e-08
0.000119147,9.042e-08
0.000185934,1.466e-07
1.65096e-06,9.767e-08
2.58304e-06,1.1865e-07
1.50509e-06,9.816e-08
2.6534e-06,1.1351e-07
1.54754e-06,1.1124e-07
0.000142861,1.5731e-07
1.3356e-05,1.4272e-07
1.53521e-06,1.1719e-07
1.6252e-06,1.4347e-07
1.73877e-06,1.5192e-07
1.75623e-06,1.5118e-07
1.63666e-06,1.283e-07
8.58252e-05,1.8483e-07
2.60106e-05,2.379e-07
2.2915e-06,1.5923e-07
2.41467e-05,2.6441e-07
6.65595e-06,2.9348e-07
3.46336e-05,2.0991e-07
2.14118e-05,2.1657e-07
9.09932e-06,1.9019e-07
2.7111e-06,1.8642e-07
2.5271e-06,1.5594e-07
1.78414e-06,1.7965e-07
3.36108e-05,4.4243e-07
2.2303e-06,1.8505e-07
1.74848e-06,1.6171e-07
1.68077e-06,1.4592e-07
1.70839e-06,1.5538e-07
3.54167e-05,4.5381e-07
2.20801e-06,1.9315e-07
1.64598e-06,3.0106e-07
2.73774e-06,1.6237e-07
2.74364e-05,1.9894e-07
1.64755e-06,1.4849e-07
1.74929e-06,1.6022e-07
1.91853e-06,1.7904e-07
2.22281e-05,2.0492e-07
2.435e-05,2.6892e-07
7.40003e-06,3.0728e-07
1.23934e-05,3.1251e-07
1.86124e-06,2.356e-07
1.72189e-06,1.9607e-07
1.81298e-06,1.7682e-07
1.79359e-06,1.9731e-07
1.80411e-06,2.236e-07
3.15949e-05,2.4535e-07
1.69426e-06,1.7821e-07
1.63378e-06,1.5863e-07
1.59692e-06,1.3223e-07
1.61327e-06,1.3653e-07
1.59948e-06,1.4465e-07
3.08692e-05,1.8071e-07
1.63493e-06,1.6603e-07
1.63986e-06,1.4822e-07
1.62344e-06,1.4972e-07
2.41101e-06,1.7092e-07
1.6691e-06,1.4395e-07
4.49973e-05,3.1231e-07
6.47032e-06,2.8739e-07
5.66809e-06,3.0949e-07
1.84985e-06,2.5542e-07
1.69372e-06,1.9374e-07
2.17891e-05,3.3537e-07
3.8771e-06,2.8723e-07
2.46588e-06,2.5321e-07
1.76142e-06,2.4323e-07
2.24965e-05,1.13386e-06
2.68656e-06,2.9517e-07
1.76497e-06,2.1313e-07
1.60132e-05,2.5316e-07
1.70977e-06,1.9688e-07
1.74179e-06,1.9195e-07
2.41507e-06,2.0243e-07
1.68684e-06,1.8778e-07
1.64451e-06,1.7733e-07
2.10891e-05,1.8667e-07
1.69389e-06,1.7599e-07
1.6496e-06,1.6014e-07
1.65383e-06,1.544e-07
1.90859e-06,1.8844e-07
1.68994e-06,1.7813e-07
3.42034e-05,6.0751e-07
1.0533e-05,3.9731e-07
1.9488e-06,3.1685e-07
1.79407e-06,2.2107e-07
1.67674e-06,2.0731e-07
1.7003e-06,2.1726e-07
1.76063e-06,1.9091e-07
4.28208e-05,1.05853e-06
3.60195e-06,9.1392e-07
2.72985e-06,3.2808e-07
1.91499e-05,3.1436e-07
1.78437e-06,2.4057e-07
1.7124e-06,2.1052e-07
1.77348e-06,1.9747e-07
1.68588e-06,1.7869e-07
1.56842e-05,2.2105e-07
1.79206e-06,2.0011e-07
4.40614e-06,1.9994e-07
1.73203e-06,1.8518e-07
1.20038e-05,1.9913e-07
1.80408e-05,3.3907e-07
1.01606e-05,4.4175e-07
1.94514e-06,3.2258e-07
2.84366e-06,5.1677e-07
9.92975e-06,5.7076e-07
2.49388e-06,1.50028e-06
1.98871e-06,2.9927e-07
1.79767e-06,3.151e-07
1.32183e-05,3.9098e-07
1.96067e-06,3.3174e-07
1.9018e-06,2.8222e-07
2.26071e-06,3.0503e-07
2.12622e-05,4.4249e-07
1.85295e-06,2.5086e-07
1.73193e-06,2.2305e-07
1.70608e-06,2.1996e-07
2.19575e-06,2.3579e-07
1.98949e-05,2.3654e-07
1.74807e-06,1.892e-07
1.66608e-06,2.0385e-07
1.64469e-06,1.7052e-07
1.64486e-06,1.8029e-07
1.64102e-06,1.7415e-07
1.58863e-05,2.0182e-07
2.06233e-05,2.5506e-07
7.78838e-06,4.1522e-07
5.6631e-06,4.1456e-07
2.20772e-06,6.6999e-07
1.24671e-05,1.4436e-06
3.19887e-06,6.9869e-07
3.53044e-06,3.7099e-07
9.93939e-06,4.2419e-07
1.87029e-06,2.8948e-07
1.86125e-06,3.2477e-07
1.83057e-06,2.8043e-07
1.83779e-06,2.8819e-07
1.74084e-05,4.6024e-07
2.26982e-06,3.1532e-07
1.78863e-06,2.5754e-07
1.8149e-06,2.3893e-07
1.73548e-06,2.0832e-07
1.9996e-05,2.754e-07
1.75196e-06,2.4834e-07
1.70729e-06,2.1427e-07
1.68085e-06,2.054e-07
1.68012e-06,2.1362e-07
1.70701e-06,1.7798e-07
1.52444e-05,2.0254e-07
1.67404e-06,2.0456e-07
1.70891e-06,1.9948e-07
1.68639e-06,1.9502e-07
1.65527e-06,1.7584e-07
1.60303e-05,2.24e-07
1.73042e-06,1.8808e-07
1.68995e-06,2.0447e-07
1.74876e-05,2.9022e-07
1.38291e-05,7.5701e-07
7.77738e-06,4.5892e-07
8.58398e-06,5.2908e-07
2.03117e-06,4.379e-07
2.00919e-06,3.0903e-07
1.76662e-06,3.7921e-07
1.90198e-06,2.9279e-07
1.4998e-05,4.8108e-07
1.99595e-06,3.7974e-07
2.39726e-06,4.3287e-07
2.14404e-06,3.5132e-07
1.43994e-05,4.6833e-07
1.96464e-06,3.3319e-07
1.81796e-06,3.1341e-07
1.77613e-06,2.629e-07
1.76527e-06,2.7099e-07
1.92859e-05,3.1826e-07
1.82739e-06,2.4321e-07
1.712e-06,2.3282e-07
1.74907e-06,2.313e-07
1.70746e-06,2.0725e-07
1.67429e-06,1.9606e-07
1.57479e-05,2.1927e-07
1.72743e-06,1.9508e-07
1.6673e-06,2.1014e-07
1.70082e-06,1.9153e-07
1.73926e-05,2.358e-07
1.75175e-05,7.8663e-07
8.1096e-06,1.24145e-06
1.02533e-05,4.878e-07
2.49513e-06,3.4044e-07
1.82467e-06,3.1267e-07
1.78361e-06,2.9318e-07
1.6967e-06,3.5208e-07
1.5265e-05,4.3993e-07
1.94159e-06,3.9111e-07
1.89176e-06,3.7367e-07
2.36613e-06,3.682e-07
1.50607e-05,4.2907e-07
1.91734e-06,3.3491e-07
1.80982e-06,2.8283e-07
1.76492e-06,2.5749e-07
1.73781e-06,2.474e-07
1.90987e-05,3.0451e-07
1.79226e-06,2.298e-07
1.71324e-06,2.4835e-07
1.83756e-06,2.2707e-07
1.70936e-06,2.229e-07
1.6774e-06,2.0088e-07
1.55263e-05,2.4551e-07
1.7222e-06,2.1469e-07
1.67803e-06,2.2884e-07
1.68134e-06,2.199e-07
1.67015e-06,2.195e-07
3.33915e-05,8.504e-07
9.42043e-06,1.29985e-06
9.51747e-06,5.2679e-07
2.07522e-06,3.9593e-07
2.87839e-06,5.141e-07
2.14547e-06,3.3755e-07
1.38891e-05,5.0347e-07
1.95668e-06,3.2051e-07
2.0111e-06,3.7181e-07
2.02938e-06,3.3807e-07
1.81101e-06,3.6116e-07
1.57738e-05,4.7847e-07
1.96447e-06,3.7851e-07
1.81936e-06,3.2367e-07
1.81881e-06,2.8854e-07
1.76182e-06,2.779e-07
1.862e-05,2.8277e-07
1.75554e-06,2.419e-07
1.80739e-06,2.4921e-07
1.71657e-06,2.261e-07
1.69533e-06,2.4941e-07
1.73123e-06,2.3895e-07
1.58284e-05,2.4898e-07
1.72942e-06,2.3472e-07
1.66598e-06,2.1408e-07
1.69718e-06,2.1986e-07
1.95685e-06,2.2805e-07
1.64404e-06,2.0392e-07
3.50905e-05,3.8164e-07
6.21211e-06,5.5074e-07
6.62816e-06,6.7015e-07
1.96378e-06,3.9813e-07
1.01599e-05,9.3726e-07
1.99705e-06,3.6531e-07
1.96861e-06,4.0942e-07
1.92241e-06,3.2708e-07
1.40779e-05,5.3646e-07
2.06967e-06,4.6076e-07
2.4199e-06,4.535e-07
2.02425e-06,3.5228e-07
1.55452e-05,5.4014e-07
2.01277e-06,3.6919e-07
1.93027e-06,3.3347e-07
1.79362e-06,3.06e-07
1.77095e-06,2.7815e-07
1.92944e-05,3.0668e-07
1.81573e-06,2.5813e-07
1.76673e-06,2.6132e-07
1.72115e-06,2.4813e-07
1.72589e-06,2.4389e-07
1.72838e-06,2.1841e-07
1.46701e-05,2.5596e-07
1.74409e-06,2.3145e-07
1.72303e-06,2.3859e-07
1.70553e-06,2.1297e-07
1.69959e-06,2.1636e-07
1.52114e-05,2.2749e-07
1.72495e-05,3.5523e-07
1.11601e-05,6.8701e-07
2.08258e-06,4.1352e-07
9.93637e-06,7.2096e-07
2.21975e-06,5.2483e-07
2.12534e-06,5.5058e-07
1.91095e-06,4.1539e-07
1.94876e-06,3.8871e-07
1.53466e-05,5.0279e-07
3.14994e-06,4.6902e-07
2.1023e-06,4.6316e-07
2.10509e-06,4.3128e-07
1.70662e-05,4.6726e-07
1.99011e-06,3.8614e-07
1.82758e-06,3.2982e-07
1.82017e-06,3.0038e-07
1.81303e-06,3.0152e-07
1.94657e-05,3.3788e-07
1.82722e-06,3.0694e-07
1.78517e-06,3.1333e-07
2.02229e-06,2.943e-07
1.79085e-06,2.765e-07
1.43465e-05,2.971e-07
1.74123e-06,2.7387e-07
1.74289e-06,2.486e-07
1.69685e-06,2.497e-07
1.84298e-06,2.3228e-07
1.48558e-05,2.7467e-07
1.76216e-05,4.1391e-07
6.47385e-06,7.9673e-07
5.73218e-06,4.5486e-07
1.88285e-06,4.1484e-07
1.20733e-05,1.109e-06
2.28465e-06,4.6091e-07
1.88443e-06,4.3957e-07
1.92308e-06,4.3882e-07
1.47853e-05,5.3154e-07
2.33873e-06,4.4481e-07
2.09391e-06,4.2419e-07
2.10385e-06,3.7551e-07
1.66704e-05,5.1117e-07
1.89934e-06,3.8464e-07
1.88535e-06,3.2649e-07
1.75654e-06,3.0373e-07
2.03467e-06,2.9125e-07
2.05086e-05,3.3018e-07
1.83379e-06,2.8711e-07
1.72969e-06,2.6623e-07
1.87378e-06,2.9246e-07
1.72756e-06,2.5354e-07
1.72663e-06,2.4639e-07
1.48913e-05,2.6617e-07
1.73684e-06,2.5526e-07
2.48844e-05,9.1357e-07
6.55802e-06,6.1263e-07
2.6161e-06,6.6857e-07
1.14897e-05,8.3062e-07
2.02581e-06,4.0498e-07
1.97288e-06,9.6897e-07
2.24813e-06,8.0162e-07
1.41394e-05,5.9918e-07
1.79736e-05,5.7338e-07
7.4104e-06,4.0706e-07
2.00323e-06,3.8601e-07
2.26419e-06,3.4142e-07
1.86982e-06,3.4477e-07
1.42101e-05,3.5212e-07
2.15807e-06,3.0217e-07
1.74376e-06,3.1124e-07
1.75553e-06,2.8215e-07
1.86181e-06,3.0324e-07
1.70765e-06,2.6259e-07
1.84829e-05,3.1685e-07
1.7657e-06,2.8579e-07
2.54897e-06,2.8177e-07
1.71154e-06,2.4965e-07
1.69985e-06,2.5078e-07
1.49071e-05,2.89e-07
1.73212e-05,3.9237e-07
1.06425e-05,5.5949e-07
1.93772e-06,4.6177e-07
9.73205e-06,6.7482e-07
2.3679e-06,9.1848e-07
2.18737e-06,4.3555e-07
2.0321e-06,4.9924e-07
1.39121e-05,5.8201e-07
2.34019e-06,4.852e-07
1.96981e-06,4.1697e-07
1.88094e-06,4.1665e-07
2.51825e-06,4.6957e-07
1.44339e-05,1.75854e-06
3.39827e-06,4.0972e-07
2.09495e-06,3.7566e-07
1.03084e-05,3.3125e-07
1.85707e-06,3.0481e-07
1.83727e-06,2.9949e-07
1.82003e-06,3.1457e-07
1.95356e-05,3.142e-07
1.9052e-06,3.1949e-07
1.69952e-06,2.9723e-07
1.6975e-06,2.8099e-07
1.75564e-06,2.6326e-07
1.53535e-05,3.0419e-07
1.80471e-06,2.6249e-07
1.69152e-06,2.7602e-07
1.71911e-06,2.518e-07
1.71094e-06,2.594e-07
1.79342e-05,4.2819e-07
1.81292e-05,6.2124e-07
6.73634e-06,1.30622e-06
7.98984e-06,5.6782e-07
2.02003e-06,4.4066e-07
2.1232e-06,6.8295e-07
2.00667e-06,4.8287e-07
2.0581e-06,4.5643e-07
1.49201e-05,5.7028e-07
2.09755e-06,4.7118e-07
1.98363e-06,4.7185e-07
2.05941e-06,5.0863e-07
1.63276e-05,5.7217e-07
2.04638e-06,4.26e-07
1.88642e-06,3.6862e-07
1.90961e-06,3.6153e-07
